residencia_provincia_nombre,residencia_departamento_nombre,n,confirmados,descartados,sospechosos,fallecidos,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento
Buenos Aires,Pila,2,0,2,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Pilar,1532,150,1219,163,0,0,0,0,0.11,53,0.353,8,0.053,4,0.027,6.7,5.3,5.2,18.2
Buenos Aires,Pinamar,31,1,28,2,0,0,0,0,0.034,1,1,1,1,1,1,1,0,0,NaN
Buenos Aires,Presidente Perón,259,43,204,12,0,0,0,0,0.174,16,0.372,1,0.023,0,0,7.6,5,1,NaN
Buenos Aires,Puán,16,1,15,0,0,0,0,0,0.062,1,1,0,0,0,0,10,7,NaN,NaN
Buenos Aires,Punta Indio,17,0,16,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Quilmes,3525,628,2551,346,0,0,0,0,0.198,150,0.239,14,0.022,5,0.008,5.9,4.3,3.2,6.8
Buenos Aires,Ramallo,26,1,23,2,0,0,0,0,0.042,0,0,0,0,0,0,5,3,NaN,NaN
Buenos Aires,Rauch,16,0,14,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Rivadavia,30,0,29,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Rojas,38,0,37,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Roque Pérez,31,0,29,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Saavedra,21,0,20,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Saladillo,42,3,37,2,0,0,0,0,0.075,2,0.667,0,0,0,0,2.7,0.7,NaN,NaN
Buenos Aires,Salliqueló,12,0,8,4,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Salto,20,1,17,2,0,0,0,0,0.056,0,0,0,0,0,0,8,7,NaN,NaN
Buenos Aires,San Andrés de Giles,55,2,53,0,0,0,0,0,0.036,2,1,1,0.5,1,0.5,9,1,6,9
Buenos Aires,San Antonio de Areco,124,18,84,22,0,0,0,0,0.176,2,0.111,1,0.056,1,0.056,5.4,1.8,1,9
Buenos Aires,San Cayetano,36,1,35,0,0,0,0,0,0.028,1,1,0,0,0,0,5,3,NaN,NaN
Buenos Aires,San Fernando,731,68,615,48,0,0,0,0,0.1,32,0.471,4,0.059,1,0.015,7,5.3,8.8,23
Buenos Aires,San Isidro,1630,162,1376,92,0,0,0,0,0.105,90,0.556,11,0.068,4,0.025,4.9,3.4,5.1,10.6
Buenos Aires,San Miguel,1163,107,976,80,0,0,0,0,0.099,41,0.383,4,0.037,1,0.009,4.9,3.6,4,10.4
Buenos Aires,San Nicolás,178,7,162,9,0,0,0,0,0.041,3,0.429,0,0,0,0,11.1,5.9,NaN,22
Buenos Aires,San Pedro,153,3,141,9,0,0,0,0,0.021,2,0.667,0,0,0,0,3,2,NaN,NaN
Buenos Aires,San Vicente,365,76,255,34,0,0,0,0,0.23,9,0.118,5,0.066,5,0.066,10,4.2,15.6,7.4
Buenos Aires,SIN ESPECIFICAR,222,14,189,19,0,0,0,0,0.069,4,0.286,0,0,0,0,5.6,4.3,NaN,NaN
Buenos Aires,Suipacha,29,0,27,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Tandil,182,5,176,1,0,0,0,0,0.028,1,0.2,0,0,0,0,9.4,7.8,NaN,NaN
Buenos Aires,Tapalqué,6,0,5,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Tigre,1400,142,1154,104,0,0,0,0,0.11,54,0.38,4,0.028,1,0.007,6.2,5,8,15
Buenos Aires,Tornquist,13,0,13,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Trenque Lauquen,38,2,35,1,0,0,0,0,0.054,2,1,0,0,0,0,10,2.5,NaN,NaN
Buenos Aires,Tres Arroyos,78,3,71,4,0,0,0,0,0.041,0,0,0,0,0,0,0,0,NaN,NaN
Buenos Aires,Tres de Febrero,1885,169,1566,150,0,0,0,0,0.097,67,0.396,8,0.047,2,0.012,6.2,4.4,4.9,10.9
Buenos Aires,Tres Lomas,7,0,7,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Buenos Aires,Vicente López,1622,132,1396,94,0,0,0,0,0.086,64,0.485,7,0.053,6,0.045,5.4,4.2,7.7,11.7
Buenos Aires,Villa Gesell,51,1,47,3,0,0,0,0,0.021,1,1,1,1,0,0,3,2,1,NaN
Buenos Aires,Villarino,65,8,52,5,0,0,0,0,0.133,1,0.125,0,0,0,0,3.1,2.4,NaN,NaN
Buenos Aires,Zárate,334,30,251,53,0,0,0,0,0.107,6,0.2,0,0,0,0,6.1,4.1,NaN,15
CABA,COMUNA 1,2778,1687,912,179,0,0,0,0,0.649,419,0.248,35,0.021,20,0.012,4.6,3.8,4.9,16.8
CABA,COMUNA 10,391,66,298,27,0,0,0,0,0.181,31,0.47,3,0.045,1,0.015,5,3.7,1.7,17.3
CABA,COMUNA 11,246,35,197,14,0,0,0,0,0.151,21,0.6,0,0,0,0,4.4,3.6,NaN,12
CABA,COMUNA 12,293,33,235,25,0,0,0,0,0.123,10,0.303,2,0.061,1,0.03,6.1,4.5,7,NaN
CABA,COMUNA 13,453,90,321,42,0,0,0,0,0.219,51,0.567,1,0.011,1,0.011,5.3,3.7,1,10
CABA,COMUNA 14,490,80,363,47,0,0,0,0,0.181,45,0.562,4,0.05,2,0.025,5.1,3.1,6.8,17
CABA,COMUNA 15,378,64,278,36,0,0,0,0,0.187,25,0.391,0,0,0,0,6.1,4.4,NaN,NaN
CABA,COMUNA 2,361,78,254,29,0,0,0,0,0.235,36,0.462,2,0.026,1,0.013,6.4,5.2,5,17
CABA,COMUNA 3,586,164,378,44,0,0,0,0,0.303,56,0.341,7,0.043,2,0.012,4.7,3.6,2.2,13
CABA,COMUNA 4,1641,416,1071,154,0,0,0,0,0.28,67,0.161,9,0.022,4,0.01,4.2,3.7,7.4,4.5
CABA,COMUNA 5,413,69,321,23,0,0,0,0,0.177,33,0.478,3,0.043,2,0.029,4.2,3.3,6.3,16
CABA,COMUNA 6,357,48,286,23,0,0,0,0,0.144,27,0.562,4,0.083,3,0.062,7.2,4,9.8,12
CABA,COMUNA 7,2147,1065,864,218,0,0,0,0,0.552,276,0.259,21,0.02,11,0.01,4.6,4.1,7.2,11.7
CABA,COMUNA 8,725,228,415,82,0,0,0,0,0.355,51,0.224,2,0.009,1,0.004,4.7,4.1,4.5,NaN
CABA,COMUNA 9,226,34,183,9,0,0,0,0,0.157,17,0.5,1,0.029,0,0,6.3,5.3,8,11.5
CABA,SIN ESPECIFICAR,24727,4534,18238,1955,0,0,0,0,0.199,1716,0.378,150,0.033,69,0.015,4.9,3.7,4.7,13.4
Catamarca,Ambato,1,0,0,1,0,0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Andalgalá,14,0,14,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Antofagasta de la Sierra,1,0,1,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Belén,14,0,13,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Capayán,19,0,19,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Capital,192,0,190,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,El Alto,2,0,2,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Fray Mamerto Esquiú,8,0,8,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,La Paz,13,0,13,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Paclín,2,0,2,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Pomán,4,0,4,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Santa María,25,0,24,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Santa Rosa,4,0,4,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,SIN ESPECIFICAR,2,0,2,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Tinogasta,13,0,13,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,Valle Viejo,31,0,28,3,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,12 de Octubre,15,0,14,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,1º de Mayo,76,5,62,9,0,0,0,0,0.075,2,0.4,0,0,0,0,4.4,3.6,NaN,NaN
Chaco,2 de Abril,2,0,2,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,25 de Mayo,34,0,31,3,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,9 de Julio,13,0,12,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,Almirante Brown,17,0,16,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,Bermejo,97,15,75,7,0,0,0,0,0.167,5,0.333,3,0.2,0,0,6.6,4,8,26
Chaco,Chacabuco,27,2,25,0,0,0,0,0,0.074,0,0,0,0,0,0,4,3,NaN,NaN
Chaco,Comandante Fernández,124,1,108,15,0,0,0,0,0.009,0,0,0,0,0,0,8,5,NaN,NaN
Chaco,Fray Justo Santa María de Oro,9,0,7,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,General Belgrano,3,0,3,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,General Donovan,35,1,33,1,0,0,0,0,0.029,0,0,0,0,0,0,NaN,NaN,NaN,NaN
Chaco,General Güemes,93,2,83,8,0,0,0,0,0.024,1,0.5,0,0,0,0,6,2,NaN,NaN
Chaco,Independencia,18,0,18,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,Libertad,39,0,36,3,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,Libertador General San Martín,71,2,66,3,0,0,0,0,0.029,1,0.5,0,0,0,0,3,1.5,NaN,NaN
Chaco,Maipú,41,1,37,3,0,0,0,0,0.026,1,1,0,0,0,0,4,4,NaN,NaN
Chaco,Mayor Luis J. Fontana,91,2,82,7,0,0,0,0,0.024,2,1,0,0,0,0,18,15,NaN,9
Chaco,O'Higgins,5,0,5,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,Presidencia de la Plaza,9,1,7,1,0,0,0,0,0.125,1,1,0,0,0,0,23,15,NaN,24
Chaco,Quitilipi,20,0,18,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,San Fernando,5874,884,4611,379,0,0,0,0,0.161,150,0.17,65,0.074,38,0.043,7.2,5.1,6,11.6
Chaco,San Lorenzo,3,0,2,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,Sargento Cabral,49,2,44,3,0,0,0,0,0.043,0,0,0,0,0,0,4.5,4,NaN,NaN
Chaco,SIN ESPECIFICAR,7,1,5,1,0,0,0,0,0.167,0,0,0,0,0,0,2,2,NaN,NaN
Chaco,Tapenagá,2,0,2,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,Biedma,111,0,109,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,Cushamen,10,0,10,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,Escalante,104,2,96,6,0,0,0,0,0.02,1,0.5,0,0,0,0,10,6,NaN,NaN
Chubut,Futaleufú,22,0,22,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,Gaiman,14,0,14,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,Rawson,120,8,96,16,0,0,0,0,0.077,2,0.25,1,0.125,1,0.125,6.8,5.6,12,NaN
Chubut,Río Senguer,3,0,3,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,Sarmiento,9,0,9,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,SIN ESPECIFICAR,4,0,4,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,Tehuelches,1,0,1,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,Telsen,1,0,1,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Córdoba,*sin dato*,9,0,9,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Córdoba,Calamuchita,148,2,134,12,0,0,0,0,0.015,1,0.5,1,0.5,0,0,17,6,4,NaN
Córdoba,Capital,7114,249,6257,607,0,0,0,0,0.038,43,0.173,16,0.064,7,0.028,6.1,4.6,7.5,20.1
Córdoba,Colón,1170,83,1020,67,0,0,0,0,0.075,47,0.566,4,0.048,0,0,3.1,3.3,0.8,25.2
Córdoba,Cruz del Eje,78,2,73,3,0,0,0,0,0.027,0,0,0,0,0,0,8,3,NaN,NaN
Córdoba,General Roca,142,2,124,16,0,0,0,0,0.016,1,0.5,1,0.5,1,0.5,12.5,10,9,15
Córdoba,General San Martín,508,24,456,28,0,0,0,0,0.05,3,0.125,1,0.042,0,0,6.7,4.2,7,29
Córdoba,Ischilín,44,0,37,7,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Córdoba,Juárez Celman,103,0,99,4,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Córdoba,Marcos Juárez,161,4,142,15,0,0,0,0,0.027,0,0,0,0,0,0,10.7,8.3,NaN,NaN
Córdoba,Minas,6,0,6,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Córdoba,Pocho,5,0,4,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Córdoba,Presidente Roque Sáenz Peña,80,1,73,6,0,0,0,0,0.014,0,0,0,0,0,0,NaN,NaN,NaN,NaN
Córdoba,Punilla,1004,25,908,71,0,0,0,0,0.027,3,0.12,2,0.08,2,0.08,8.1,6,7,15.2
Córdoba,Río Cuarto,847,17,784,46,0,0,0,0,0.021,3,0.176,0,0,0,0,9.8,4.4,NaN,NaN
Córdoba,Río Primero,200,1,188,11,0,0,0,0,0.005,1,1,0,0,0,0,2,2,NaN,NaN
Córdoba,Río Seco,12,0,12,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Córdoba,Río Segundo,265,0,246,19,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Córdoba,San Alberto,75,0,71,4,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
