residencia_provincia_nombre,sexo,n,confirmados,descartados,sospechosos,fallecidos,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento
San Juan,NR,1,0,1,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
San Luis,F,149,2,140,7,0,0,0,0,0.014,2,1,0,0,0,0,10,5,NaN,NaN
San Luis,M,201,9,187,5,0,0,0,0,0.046,6,0.667,1,0.111,0,0,5.3,2.7,3,NaN
Santa Cruz,F,204,19,165,20,0,0,0,0,0.103,9,0.474,1,0.053,1,0.053,8.9,4.6,6,NaN
Santa Cruz,M,277,30,228,19,0,0,0,0,0.116,11,0.367,3,0.1,1,0.033,7.1,3,7,NaN
Santa Fe,F,4762,128,4553,81,0,0,0,0,0.027,21,0.164,3,0.023,0,0,5.9,5,5.3,NaN
Santa Fe,M,4560,137,4327,96,0,0,0,0,0.031,33,0.241,9,0.066,5,0.036,7.1,5.9,8.3,25
Santa Fe,NR,4,0,4,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Santiago del Estero,F,462,7,429,26,0,0,0,0,0.016,0,0,0,0,0,0,7.2,6.5,NaN,NaN
Santiago del Estero,M,943,16,862,65,0,0,0,0,0.018,2,0.125,2,0.125,0,0,8.4,7,4.5,NaN
Santiago del Estero,NR,40,0,40,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
SIN ESPECIFICAR,F,306,72,200,34,0,0,0,0,0.265,20,0.278,2,0.028,0,0,4.6,4.1,7.5,NaN
SIN ESPECIFICAR,M,225,59,148,18,0,0,0,0,0.285,19,0.322,2,0.034,2,0.034,5.2,4.1,4.5,7
SIN ESPECIFICAR,NR,10,1,7,2,0,0,0,0,0.125,0,0,0,0,0,0,3,3,NaN,NaN
Tierra del Fuego,F,687,58,614,15,0,0,0,0,0.086,3,0.052,0,0,0,0,7.7,5.5,NaN,NaN
Tierra del Fuego,M,794,77,707,10,0,0,0,0,0.098,4,0.052,2,0.026,2,0.026,7,5,11.5,NaN
Tierra del Fuego,NR,5,1,4,0,0,0,0,0,0.2,0,0,0,0,0,0,2,2,NaN,NaN
Tucumán,F,1850,20,1745,84,0,0,0,0,0.011,5,0.25,3,0.15,2,0.1,9,7.3,5.7,13.5
Tucumán,M,2918,27,2733,158,0,0,0,0,0.01,5,0.185,1,0.037,0,0,10.1,7.6,3,15
Tucumán,NR,6,0,4,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
