residencia_provincia_nombre,edad.rango,n,confirmados,descartados,sospechosos,fallecidos,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento
Catamarca,25-29,41,0,41,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,30-34,37,0,34,3,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,35-39,32,0,31,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,40-44,16,0,16,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,45-49,22,0,21,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,50-54,14,0,13,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,55-59,11,0,11,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,60-64,20,0,20,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,65-69,21,0,21,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,70-74,19,0,19,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,75-79,11,0,11,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Catamarca,80+,24,0,24,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chaco,0,175,4,149,22,0,0,0,0,0.026,2,0.5,0,0,0,0,9.2,7.8,NaN,NaN
Chaco,1-9,603,16,542,45,0,0,0,0,0.029,2,0.125,0,0,0,0,6.1,4.8,NaN,NaN
Chaco,10-14,145,15,117,13,0,0,0,0,0.114,2,0.133,0,0,0,0,9.2,5,NaN,24
Chaco,15-19,223,52,156,15,0,0,0,0,0.25,3,0.058,0,0,0,0,7.9,5.5,NaN,NaN
Chaco,20-24,452,72,350,30,0,0,0,0,0.171,4,0.056,2,0.028,1,0.014,7.1,5.3,3,NaN
Chaco,25-29,747,89,601,57,0,0,0,0,0.129,4,0.045,1,0.011,0,0,7.8,5.2,3,NaN
Chaco,30-34,788,107,632,49,0,0,0,0,0.145,9,0.084,2,0.019,0,0,6.3,4.5,3,12
Chaco,35-39,705,84,583,38,0,0,0,0,0.126,5,0.06,3,0.036,2,0.024,6.2,4.8,6.8,7
Chaco,40-44,638,99,507,32,0,0,0,0,0.163,12,0.121,3,0.03,1,0.01,6,4.9,8.7,6
Chaco,45-49,490,79,388,23,0,0,0,0,0.169,9,0.114,4,0.051,3,0.038,8.2,5.2,6.7,9.5
Chaco,50-54,472,78,359,35,0,0,0,0,0.178,19,0.244,5,0.064,4,0.051,7.9,5.1,6.6,11.7
Chaco,55-59,363,73,275,15,0,0,0,0,0.21,20,0.274,11,0.151,6,0.082,8.1,5.5,7.2,14
Chaco,60-64,253,52,179,22,0,0,0,0,0.225,21,0.404,12,0.231,5,0.096,6.4,4.5,4,12.7
Chaco,65-69,237,32,189,16,0,0,0,0,0.145,16,0.5,8,0.25,4,0.125,7.7,5,6.6,15.2
Chaco,70-74,148,24,114,10,0,0,0,0,0.174,11,0.458,5,0.208,4,0.167,7.1,5.1,3.8,8.6
Chaco,75-79,124,20,95,9,0,0,0,0,0.174,8,0.4,5,0.25,4,0.2,6.8,4.9,6,9
Chaco,80+,175,23,142,10,0,0,0,0,0.139,16,0.696,7,0.304,4,0.174,7.7,5.1,9,11.8
Chaco,NA,36,0,26,10,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,1-9,12,0,10,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,10-14,3,0,3,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,15-19,14,0,13,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,20-24,29,0,25,4,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,25-29,39,1,36,2,0,0,0,0,0.027,0,0,0,0,0,0,4,3,NaN,NaN
Chubut,30-34,28,0,24,4,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,35-39,34,0,32,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,40-44,42,0,41,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,45-49,27,4,19,4,0,0,0,0,0.174,0,0,0,0,0,0,6,4.3,NaN,NaN
Chubut,50-54,30,0,29,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,55-59,23,0,23,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,60-64,18,1,17,0,0,0,0,0,0.056,1,1,0,0,0,0,10,6,NaN,NaN
Chubut,65-69,30,3,26,1,0,0,0,0,0.103,2,0.667,1,0.333,1,0.333,12,12,12,NaN
Chubut,70-74,24,0,23,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,75-79,18,0,17,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,80+,24,0,24,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Chubut,NA,4,1,3,0,0,0,0,0,0.25,0,0,0,0,0,0,NaN,NaN,NaN,NaN
Córdoba,0,248,1,215,32,0,0,0,0,0.005,0,0,0,0,0,0,NaN,NaN,NaN,NaN
Córdoba,1-9,921,18,818,85,0,0,0,0,0.022,0,0,0,0,0,0,4.4,3.7,NaN,NaN
Córdoba,10-14,266,11,237,18,0,0,0,0,0.044,0,0,0,0,0,0,7.2,7.2,NaN,NaN
Córdoba,15-19,406,21,344,41,0,0,0,0,0.058,0,0,0,0,0,0,5.2,3.9,NaN,NaN
Córdoba,20-24,939,39,844,56,0,0,0,0,0.044,1,0.026,0,0,0,0,7.4,5.6,NaN,NaN
Córdoba,25-29,1386,41,1242,103,0,0,0,0,0.032,3,0.073,1,0.024,0,0,6.4,5.5,0,NaN
Córdoba,30-34,1313,40,1182,90,0,0,0,0,0.033,2,0.05,1,0.025,0,0,7,5.2,3,NaN
Córdoba,35-39,1381,33,1245,103,0,0,0,0,0.026,2,0.061,1,0.03,0,0,5.5,4.5,2,NaN
Córdoba,40-44,1426,40,1293,93,0,0,0,0,0.03,5,0.125,0,0,0,0,8,4.4,NaN,NaN
Córdoba,45-49,1103,19,1025,59,0,0,0,0,0.018,2,0.105,0,0,0,0,8.2,4.4,NaN,NaN
Córdoba,50-54,1022,22,929,71,0,0,0,0,0.023,3,0.136,1,0.045,0,0,5.1,4.6,NaN,18
Córdoba,55-59,815,26,744,45,0,0,0,0,0.034,7,0.269,5,0.192,1,0.038,10.1,6.1,6,NaN
Córdoba,60-64,666,28,595,43,0,0,0,0,0.045,7,0.25,2,0.071,0,0,9.8,6.4,1,16
Córdoba,65-69,554,23,490,41,0,0,0,0,0.045,10,0.435,4,0.174,4,0.174,5.1,2.2,6.5,18.7
Córdoba,70-74,530,31,456,43,0,0,0,0,0.064,19,0.613,6,0.194,3,0.097,5.3,2.5,6.8,30
Córdoba,75-79,397,13,358,26,0,0,0,0,0.035,10,0.769,3,0.231,1,0.077,4.3,4.3,14,20.6
Córdoba,80+,836,51,718,67,0,0,0,0,0.066,41,0.804,4,0.078,2,0.039,2.1,2.1,5,17.3
Córdoba,NA,13,1,6,6,0,0,0,0,0.143,0,0,0,0,0,0,0,1,NaN,NaN
Corrientes,0,4,0,4,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Corrientes,1-9,50,3,41,6,0,0,0,0,0.068,0,0,0,0,0,0,2,3,NaN,NaN
Corrientes,10-14,31,1,29,1,0,0,0,0,0.033,0,0,0,0,0,0,2,2,NaN,NaN
Corrientes,15-19,38,3,33,2,0,0,0,0,0.083,0,0,0,0,0,0,5,9,NaN,NaN
Corrientes,20-24,170,3,157,10,0,0,0,0,0.019,1,0.333,0,0,0,0,10.5,4.5,NaN,NaN
Corrientes,25-29,352,18,321,13,0,0,0,0,0.053,0,0,0,0,0,0,8.2,5.7,NaN,NaN
Corrientes,30-34,398,7,382,9,0,0,0,0,0.018,0,0,0,0,0,0,8.3,7.3,NaN,NaN
Corrientes,35-39,406,11,374,21,0,0,0,0,0.029,0,0,0,0,0,0,4.5,5.5,NaN,NaN
